"source_sheet","source_row","active"
"Ausco","5","N"
"Ausco","6","Y"
"Ausco","7","Y"
"Ausco","8","Y"
"Ausco","9","Y"
"Ausco","10","Y"
"Ausco","11","Y"
"Ausco","12","Y"
"Ausco","13","Y"
"Ausco","14","Y"
"Ausco","15","Y"
"Ausco","16","Y"
"Ausco","17","Y"
"Ausco","18","Y"
"Ausco","19","Y"
"Ausco","20","N"
"Ausco","21","N"
"Ausco","22","N"
"Ausco","23","Y"
"Ausco","24","Y"
"Ausco","25","Y"
"Ausco","26","Y"
"Ausco","27","Y"
"Ausco","28","Y"
"Ausco","29","N"
"Ausco","30","N"
"Ausco","31","N"
"Ausco","32","Y"
"Ausco","33","Y"
"Ausco","34","Y"
"Ausco","35","Y"
"Ausco","36","Y"
"Ausco","37","Y"
"Ausco","38","Y"
"Ausco","39","Y"
"Ausco","40","Y"
"Ausco","41","Y"
"Ausco","42","Y"
"Ausco","43","Y"
"Ausco","44","Y"
"Ausco","45","Y"
"Ausco","46","Y"
"Ausco","47","Y"
"Ausco","48","Y"
"Ausco","49","Y"
"Ausco","50","Y"
"Ausco","51","Y"
"Ausco","52","Y"
"Ausco","53","Y"
"Ausco","54","Y"
"Ausco","55","Y"
"Ausco","56","Y"
"Ausco","57","Y"
"Ausco","58","Y"
"Ausco","59","Y"
"Ausco","60","Y"
"Ausco","61","Y"
"Ausco","62","Y"
"Ausco","63","Y"
"Ausco","64","Y"
"Ausco","65","Y"
"Ausco","66","Y"
"Ausco","67","Y"
"Ausco","68","N"
"Ausco","69","N"
"Ausco","70","N"
"Ausco","71","Y"
"Ausco","72","Y"
"Ausco","73","Y"
"Ausco","74","N"
"Ausco","75","N"
"Ausco","76","N"
"Ausco","77","Y"
"Ausco","78","Y"
"Ausco","79","Y"
"Ausco","80","Y"
"Ausco","81","Y"
"Ausco","82","Y"
"Ausco","83","Y"
"Ausco","84","Y"
"Ausco","85","Y"
"Ausco","86","Y"
"Ausco","87","Y"
"Ausco","88","Y"
"Ausco","89","Y"
"Ausco","90","Y"
"Ausco","91","Y"
"Ausco","92","Y"
"Ausco","93","Y"
"Ausco","94","Y"
"Ausco","95","Y"
"Ausco","96","Y"
"Ausco","97","Y"
"Ausco","98","N"
"Ausco","99","N"
"Ausco","100","N"
"Ausco","101","N"
"Ausco","102","N"
"Ausco","103","N"
"Ausco","104","N"
"Ausco","105","N"
"Ausco","106","N"
"Ausco","107","N"
"Ausco","108","Y"
"Ausco","109","Y"
"Ausco","110","Y"
"Ausco","111","Y"
"Ausco","112","Y"
"Ausco","113","Y"
"Ausco","114","Y"
"Ausco","115","Y"
"Ausco","116","N"
"Ausco","117","Y"
"Ausco","118","Y"
"Ausco","119","N"
"Ausco","120","Y"
"Ausco","121","N"
"Ausco","122","Y"
"Ausco","123","N"
"Ausco","124","Y"
"Ausco","125","N"
"Ausco","126","Y"
"Ausco","127","Y"
"Ausco","128","Y"
"Ausco","129","Y"
"Ausco","130","N"
"Ausco","131","N"
"Ausco","132","N"
"Ausco","133","Y"
"Ausco","134","Y"
"Ausco","135","Y"
"Ausco","136","Y"
"Ausco","137","Y"
"Ausco","138","Y"
"Ausco","139","Y"
"Ausco","140","Y"
"Ausco","141","Y"
"Ausco","142","Y"
"Ausco","143","Y"
"Ausco","144","Y"
"Ausco","145","Y"
"Ausco","146","Y"
"Ausco","147","Y"
"Ausco","148","Y"
"Ausco","149","Y"
"Ausco","150","Y"
"Ausco","151","Y"
"Ausco","152","Y"
"Ausco","153","Y"
"Ausco","154","Y"
"Ausco","155","Y"
"Ausco","156","Y"
"Ausco","157","Y"
"Ausco","158","Y"
"Ausco","159","Y"
"Ausco","160","Y"
"Ausco","161","Y"
"Ausco","162","Y"
"Ausco","163","Y"
"Ausco","164","Y"
"Ausco","165","Y"
"Ausco","166","Y"
"Ausco","167","Y"
"Ausco","168","Y"
"Ausco","169","Y"
"Ausco","170","Y"
"Ausco","171","Y"
"Ausco","172","Y"
"Ausco","173","Y"
"Ausco","174","Y"
"GLAMORISE","13","Y"
"GLAMORISE","14","Y"
"GLAMORISE","15","Y"
"GLAMORISE","19","Y"
"GLAMORISE","20","Y"
"GLAMORISE","21","Y"
"GLAMORISE","22","Y"
"GLAMORISE","23","Y"
"GLAMORISE","24","Y"
"GLAMORISE","25","Y"
"GLAMORISE","26","Y"
"GLAMORISE","33","Y"
"GLAMORISE","34","Y"
"GLAMORISE","35","Y"
"GLAMORISE","38","Y"
"GLAMORISE","39","Y"
"GLAMORISE","40","Y"
"GLAMORISE","41","Y"
"GLAMORISE","60","Y"
"GLAMORISE","71","N"
"GLAMORISE","72","Y"
"GLAMORISE","73","N"
"GLAMORISE","74","N"
"GLAMORISE","75","Y"
"GLAMORISE","76","Y"
