1		Date : 26th July 2023										
3		Price : FOB Bangkok USD/meter										
4		MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD	All Colors	
5		3,000m.	200-599m.	257144	Ariana TM EMB	100% PES/CDP	145-155 cm.	140-150 cm.	30-35 g/m2	1.80	2.50	
6			600-1,999m.							1.55	2.15	
7			2,000-4,999m.							1.47	2.05	
8			5,000m.+							1.40	1.97	
10		3,000m.	200-600m.	257171		100% PA	155-165 cm.	150-160 cm.	14-18 g/m2			
11			601-2,000m.									
12			2,001-5,000m.									
13			5,000m.+									
16		Date : 8th December 2023 => requoted Date on 16th August 2024 to still keep USD1.50/m. for 2,000 m.										
17		Price : FOB Bangkok USD/meter (valid 6 months until 30th June 2024) => requote until 28th February 2025)										
18		MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD	All colors	Remarks
19		2,000m.	2,000 m.	255167	Tattoo	100% PA	152 -157 cm.	147-152 cm.	15-20 g/m2	1.50		
22	Price : FOB Bangkok USD/meter	Price : FOB Bangkok USD/meter	Price : FOB Bangkok USD/meter									
23	Date	MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD		
24	05.09.2025	2,000m.	2,000 m.	255167	TATTOO	100% PA	152 - 157 cm.	147 - 152 cm.	15 - 20 g/m2	1.50		
30		Quoted Price by K. Sivy on 20.12.2022	Quoted Price by K. Sivy on 20.12.2022	USD per meter / FOB	USD per meter / FOB	USD per meter / FOB	USD per meter / FOB	THB per meter exclude Vat/ DDP	THB per meter exclude Vat/ DDP			
31		Qty	Article			PFE/PFD	All colors	PFD/PFE	All colors			
32		200-600m.	255028	3,000 m.			$ 6.17		THB 216.00			
33		601-2,000m.	same as Anita price				$ 5.40		THB 189.00			
34		2,001-5,000m.					$ 5.10		THB 179.00			
35		PFD	255028			$ 4.93		THB 136.00				
37		Date : 24th January 2024										
39		Price : FOB Bangkok USD/meter								ACUNDIS		
40	Date	MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD		
41	29/02/2024	3,000m.	200-600m.	255484	Invisible Tulle Bright	100%PA	152 - 162cm	147 - 157 cm	13 - 18g/m2	2.11		
42			601-2,000m.							1.77		
43			2,001-5,000m.							1.70		
44	K. Sivy informed K. Yeni to negotiate with Acundis to order art. 255484 PFD Shipment 4 x 5000 meters @FOB Bangkok USD1.45/m. on 29th February 2024											
46	ACUNDIS											
47	DATE	MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD	All colors	
48	22/5/2023	3,000 m	350-600 m	255554	PA INVISIBLE ELASTIC	77% PA, 23% ELASTANE	150 - 160 cm.	145 - 155 cm.	24 - 28 g/m2	2.30	2.90	
49			601-2,000 m			Acundis place order AB/15_PFD				2.10	2.55	
50			2,001-5,000 m			Which differnece composition is 77% PA, 23%EL accoreding to PVH tested.				1.95	2.40	
53	Date	MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD		
54	2/19/2026	10,000 m.	5,000 m. UP * 2 shipments	255554	PA INVISIBLE ELASTIC	79% PA, 21% ELASTANE	150 - 160 cm.	145 - 155 cm.	24 - 28 g/m2	1.90		
58	Date	MOQ	Qty per color	Article	Fabric name	Composition	Full Width	Useable Width	Weight	PFE/PFD		
59	3/7/2024	3,000m.	200-600m.	254824	ELASTIC TULLE PASCAL	70% PA, 30% ELASTANE	147 - 152 cm.	142 - 147 cm.	50 - 55 g/m2	3.17		
60			601-2,000m.							2.83		
61			2,001-5,000m.							2.77		
64	Price : FOB Bangkok USD/meter valid on 30th September 2026	Price : FOB Bangkok USD/meter valid on 30th September 2026	Price : FOB Bangkok USD/meter valid on 30th September 2026	Price : FOB Bangkok USD/meter valid on 30th September 2026								
65	Date	MOQ	QTY per color	Article	composition	Weight	Full Width	Usable With	PFD/PFE (USD/m)			
66	3/6/2026	3,000 m.	200-599 m.	254580	100%PA	30 - 35 g/m2	150 - 155cm	145 - 150 cm.	1.70			
67			600-1,999 m.	Marvin					1.35			
68			2,000-5,000 m.						1.20			
74	DATE	ARTICLE #	Composition	Weight	Full Width	Useable Width	MOQ	Qty per color	USD FOB BKK / METER	USD FOB BKK / METER		
75				g/m2	CM	CM	(Meter)	(Meter)	PFE/PFD	ALL COLOR		
77	21/11/2024	W7LF001-1A/14	100% PES	25-30	155-165	150-160	3,000	200-599	2.65	3.95		
78		(VERSION PES OF 257206)						600-1999	2.10	3.15		
79								2000-4999	2.00	3.00		
83	CUSTOMER :	ACUNDIS										
