sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark
Acundis,5,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.",200-599m.,200,599,PFE/PFD,USD,1.80,,
Acundis,5,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.",200-599m.,200,599,All_colors,USD,2.50,,
Acundis,6,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.","600-1,999m.",600,1999,PFE/PFD,USD,1.55,,
Acundis,6,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.","600-1,999m.",600,1999,All_colors,USD,2.15,,
Acundis,7,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.","2,000-4,999m.",2000,4999,PFE/PFD,USD,1.47,,
Acundis,7,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.","2,000-4,999m.",2000,4999,All_colors,USD,2.05,,
Acundis,8,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.","5,000m.+",5000,,PFE/PFD,USD,1.40,,
Acundis,8,3,257144,Ariana TM EMB,100% PES/CDP,145-155 cm.,140-150 cm.,30-35 g/m2,"3,000m.","5,000m.+",5000,,All_colors,USD,1.97,,
Acundis,19,17,255167,Tattoo,100% PA,152 -157 cm.,147-152 cm.,15-20 g/m2,"2,000m.","2,000 m.",2000,,PFE/PFD,USD,1.50,,
Acundis,24,22,255167,TATTOO,100% PA,152 - 157 cm.,147 - 152 cm.,15 - 20 g/m2,"2,000m.","2,000 m.",2000,,PFE/PFD,USD,1.50,05.09.2025,
Acundis,32,30,255028,,,,,,,200-600m.,200,600,All_colors,USD,6.17,,
Acundis,32,30,255028,,,,,,,200-600m.,200,600,All_colors,THB,216.00,,
Acundis,33,30,255028,,,,,,,"601-2,000m.",601,2000,All_colors,USD,5.40,,
Acundis,33,30,255028,,,,,,,"601-2,000m.",601,2000,All_colors,THB,189.00,,
Acundis,34,30,255028,,,,,,,"2,001-5,000m.",2001,5000,All_colors,USD,5.10,,
Acundis,34,30,255028,,,,,,,"2,001-5,000m.",2001,5000,All_colors,THB,179.00,,
Acundis,35,30,255028,,,,,,,PFD,0,,PFE/PFD,USD,4.93,,
Acundis,35,30,255028,,,,,,,PFD,0,,PFE/PFD,THB,136.00,,
Acundis,41,39,255484,Invisible Tulle Bright,100%PA,152 - 162cm,147 - 157 cm,13 - 18g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,2.11,29/02/2024,
Acundis,42,39,255484,Invisible Tulle Bright,100%PA,152 - 162cm,147 - 157 cm,13 - 18g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,1.77,29/02/2024,
Acundis,43,39,255484,Invisible Tulle Bright,100%PA,152 - 162cm,147 - 157 cm,13 - 18g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,1.70,29/02/2024,
Acundis,48,46,255554,PA INVISIBLE ELASTIC,"77% PA, 23% ELASTANE",150 - 160 cm.,145 - 155 cm.,24 - 28 g/m2,"3,000 m",350-600 m,350,600,PFE/PFD,USD,2.30,22/5/2023,
Acundis,48,46,255554,PA INVISIBLE ELASTIC,"77% PA, 23% ELASTANE",150 - 160 cm.,145 - 155 cm.,24 - 28 g/m2,"3,000 m",350-600 m,350,600,All_colors,USD,2.90,22/5/2023,
Acundis,49,46,255554,PA INVISIBLE ELASTIC,Acundis place order AB/15_PFD,150 - 160 cm.,145 - 155 cm.,24 - 28 g/m2,"3,000 m","601-2,000 m",601,2000,PFE/PFD,USD,2.10,22/5/2023,
Acundis,49,46,255554,PA INVISIBLE ELASTIC,Acundis place order AB/15_PFD,150 - 160 cm.,145 - 155 cm.,24 - 28 g/m2,"3,000 m","601-2,000 m",601,2000,All_colors,USD,2.55,22/5/2023,
Acundis,50,46,255554,PA INVISIBLE ELASTIC,"Which differnece composition is 77% PA, 23%EL accoreding to PVH tested.",150 - 160 cm.,145 - 155 cm.,24 - 28 g/m2,"3,000 m","2,001-5,000 m",2001,5000,PFE/PFD,USD,1.95,22/5/2023,
Acundis,50,46,255554,PA INVISIBLE ELASTIC,"Which differnece composition is 77% PA, 23%EL accoreding to PVH tested.",150 - 160 cm.,145 - 155 cm.,24 - 28 g/m2,"3,000 m","2,001-5,000 m",2001,5000,All_colors,USD,2.40,22/5/2023,
