"customer_excel","rows","rank","score","customer_id","custcd","customer_name","matched_via","ctry","city","bill_to","so_orders","last_so","geo","verdict"
"CENTER","1988","1","86","655","1154","Hirdaramani Knit Center of Operations","Hirdaramani Knit Center of Operations","SL","","Y","2","2023-09-19","","NOT_A_CUSTOMER"
"CENTER","1988","2","86","27","026","Yuen Long Trading Center (YLTC)","Yuen Long Trading Center (YLTC)","HK","","Y","0","","","NOT_A_CUSTOMER"
"CENTER","1988","3","60","156","749","Chantasia Co.,Ltd. (Head Office)","Chantasia Co.,Ltd. (Head Office)","TH","","Y","1732","2026-09-04","","NOT_A_CUSTOMER"
"CENTER PRICE THB","1118","1","30.8","9","008","R&D Customer","R&D Customer","TH","","Y","1404","2026-09-07","","NOT_A_CUSTOMER"
"CENTER PRICE THB","1118","2","32.4","609","1112","Thai Takeda Lace Co.,Ltd","Thai Takeda Lace Co.,Ltd","TH","Kabinburi","Y","1","2022-10-05","","NOT_A_CUSTOMER"
"CENTER PRICE THB","1118","3","28.8","123","122","SCHWENINGER TEXTIL GmbH","SCHWENINGER TEXTIL GmbH","AT","","Y","2951","2026-09-03","","NOT_A_CUSTOMER"
"ANITA_Thailand & Germany ","195","1","82.3","173","766","Anita (Thailand) Co.,Ltd. (Head Office)","Anita (Thailand) Co.,Ltd. (Head Office)","TH","","Y","693","2026-09-04","ctry+","REVIEW"
"ANITA_Thailand & Germany ","195","2","75.7","168","761","Anita Dr.Helbig GmbH","Anita Dr.Helbig GmbH","GY","","Y","840","2026-08-29","ctry+",""
"ANITA_Thailand & Germany ","195","3","75.7","231","824","ANITA Service GmbH","ANITA Service GmbH","GY","","Y","55","2026-07-27","ctry+",""
"Hop Lun (PH Garment)","179","1","70","277","867","Hop Lun International Fashion Limited.","Hop Lun International Fashion Limited.","HK","","Y","466","2026-09-05","","REVIEW"
"Hop Lun (PH Garment)","179","2","70","537","1046","HOP LUN INTERNATIONAL FASHION LIMITED.","HOP LUN INTERNATIONAL FASHION LIMITED.","HK","","Y","32","2026-08-27","",""
"Hop Lun (PH Garment)","179","3","70","675","1171","HOP LUN INTERNATIONAL FASHION LIMITED","HOP LUN INTERNATIONAL FASHION LIMITED","HK","Kowloon","Y","10","2026-03-30","",""
"Hop Lun","177","1","97","724","1217","Hop Lun Company","Hop Lun Company","HK","Kowloon","Y","1","2024-07-26","","AUTO"
"Hop Lun","177","2","90.7","720","1213","PT. HOP LUN INDONESIA","PT. HOP LUN INDONESIA","IA","SEMARANG","N","0","","",""
"Hop Lun","177","3","89","277","867","Hop Lun International Fashion Limited.","Hop Lun International Fashion Limited.","HK","","Y","466","2026-09-05","",""
"Ausco","103","1","89","665","1163","AUSCO TRADING CO.","AUSCO TRADING CO.","KR","Seoul","Y","9","2026-07-13","","LIKELY"
"Ausco","103","2","60","222","815","AGAPE","AGAPE","MO","","Y","49","2026-08-12","",""
"Ausco","103","3","60","686","1181","Acundis Ag","Acundis Ag","SW","","Y","36","2026-07-24","",""
"Agent Provocateur","66","1","100","106","105","Agent Provocateur","Agent Provocateur","UK","","Y","74","2025-06-25","","AUTO"
"Agent Provocateur","66","2","100","568","1077","AGENT PROVOCATEUR","AGENT PROVOCATEUR","UK","London","Y","31","2026-08-06","",""
"Agent Provocateur","66","3","30.5","151","744","Rovitex Asia Ltd.","Rovitex Asia Ltd.","TH","","Y","238","2022-02-16","",""
