sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark,block_note
CENTER PRICE USD for internal,15,14,210816,SOFTY e 1 hydrophilic + antibacteria finish,100%PES,170 - 180 cm.,165 - 175 cm.,145 - 160 g/m2,"2,000m.",500m.,500,,All_colors,USD,6.17,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,15,14,210816,SOFTY e 1 hydrophilic + antibacteria finish,100%PES,170 - 180 cm.,165 - 175 cm.,145 - 160 g/m2,"2,000m.",500m.,500,,All_colors,THB,185,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,16,14,210786,SOFTY e 1 hydrophilic + antibacteria finish,100% PES,148 - 153 cm.,143 - 148 cm.,125 - 135 g/m2,"2,000m.",500m.,500,,All_colors,USD,5.33,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,16,14,210786,SOFTY e 1 hydrophilic + antibacteria finish,100% PES,148 - 153 cm.,143 - 148 cm.,125 - 135 g/m2,"2,000m.",500m.,500,,All_colors,THB,160,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,18,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,2.00,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,18,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,2.60,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,18,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,60,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,18,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",200-600m.,200,600,All_colors,THB,78,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,19,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,1.67,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,19,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,USD,2.13,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,19,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,THB,50,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,19,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,THB,64,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,20,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,1.60,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,20,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,1.97,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,20,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,48,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,20,14,251051,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,59,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,22,14,251166,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,4.50,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,22,14,251166,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,5.33,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,22,14,251166,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,135,,,DATE : 4th Mar 2020
