price_id,customer,article,article_variant,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_min,qty_max,qty_unit,color_tier,price_usd,price_thb,terms,valid_from,valid_to,quote_ref,source_sheet,source_row,notes
1,CENTER,210816,,SOFTY e 1 hydrophilic + antibacteria finish,100%PES,170 - 180 cm.,165 - 175 cm.,145 - 160 g/m2,"2,000m.",500,,M,All_colors,6.16666666666667,185,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,15,
2,CENTER,210786,,SOFTY e 1 hydrophilic + antibacteria finish,100% PES,148 - 153 cm.,143 - 148 cm.,125 - 135 g/m2,"2,000m.",500,,M,All_colors,5.33333333333333,160,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,16,
3,CENTER,251051,,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",200,600,M,PFE/PFD,2,60,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,18,
4,CENTER,251051,,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",200,600,M,All_colors,2.6,78,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,18,
5,CENTER,251051,,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.66666666666667,50,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,19,
6,CENTER,251051,,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",601,2000,M,All_colors,2.13333333333333,64,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,19,
7,CENTER,251051,,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.6,48,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,20,
8,CENTER,251051,,PA CHARMEUSE 2020,100% PA,153 - 158 cm.,148 - 153 cm.,28 - 33 g/m2,"3,000m.",2001,5000,M,All_colors,1.96666666666667,59,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,20,
9,CENTER,251166,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",200,600,M,PFE/PFD,4.5,135,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,22,
10,CENTER,251166,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",200,600,M,All_colors,5.33333333333333,160,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,22,
11,CENTER,251166,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",601,2000,M,PFE/PFD,4.23333333333333,127,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,23,
12,CENTER,251166,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",601,2000,M,All_colors,5,150,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,23,
13,CENTER,251166,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",2001,5000,M,PFE/PFD,4.16666666666667,125,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,24,
14,CENTER,251166,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.",2001,5000,M,All_colors,4.83333333333333,145,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,24,
15,CENTER,251168,,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",200,600,M,PFE/PFD,4.66666666666667,140,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,26,
16,CENTER,251168,,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",200,600,M,All_colors,5.5,165,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,26,
17,CENTER,251168,,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",601,2000,M,PFE/PFD,4.33333333333333,130,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,27,
18,CENTER,251168,,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",601,2000,M,All_colors,5.16666666666667,155,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,27,
19,CENTER,251168,,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",2001,5000,M,PFE/PFD,4.26666666666667,128,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,28,
20,CENTER,251168,,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",2001,5000,M,All_colors,4.93333333333333,148,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,28,
21,CENTER,251170,,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",300,,M,PFE/PFD,4.83333333333333,145,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,30,
22,CENTER,251170,,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",300,,M,All_colors,5.45,163.5,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,30,
23,CENTER,251170,,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",700,,M,PFE/PFD,4.5,135,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,31,
24,CENTER,251170,,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",700,,M,All_colors,5.2,156,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,31,
25,CENTER,251170,,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",1100,,M,PFE/PFD,4.46666666666667,134,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,32,
26,CENTER,251170,,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",1100,,M,All_colors,5,150,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,32,
27,CENTER,251173,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",200,600,M,PFE/PFD,2.03333333333333,61,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,34,
28,CENTER,251173,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",200,600,M,All_colors,2.63333333333333,79,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,34,
29,CENTER,251173,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.7,51,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,35,
30,CENTER,251173,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",601,2000,M,All_colors,2.2,66,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,35,
31,CENTER,251173,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.66666666666667,50,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,36,
32,CENTER,251173,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",2001,5000,M,All_colors,2.03333333333333,61,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,36,
33,CENTER,251195,,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",200,600,M,PFE/PFD,2.23333333333333,67,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,38,
34,CENTER,251195,,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",200,600,M,All_colors,2.9,87,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,38,
35,CENTER,251195,,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.86666666666667,56,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,39,
36,CENTER,251195,,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",601,2000,M,All_colors,2.4,72,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,39,
37,CENTER,251195,,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.83333333333333,55,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,40,
38,CENTER,251195,,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",2001,5000,M,All_colors,2.2,66,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,40,
39,CENTER,251205,,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",200,600,M,PFE/PFD,5.5,165,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,42,
40,CENTER,251205,,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",200,600,M,All_colors,6.66666666666667,200,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,42,
41,CENTER,251205,,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",601,2000,M,PFE/PFD,5.16666666666667,155,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,43,
