Biga Thailand ,0,124,0,706
Chantasia_UPDATE,0,39,0,313
Setafil Thailand,0,36,0,61
Chantasia_record,0,31,0,188
Mastex,0,28,0,97
Hanes Thailand-GMK fabric,0,26,0,52
ROYAL U,2,23,11,112
YEH Pattana,2,21,2,41
GLAMORISE,2,20,14,85
Ausco,19,37,103,268
WEDTEX,0,16,0,95
Union,13,26,45,143
Acundis,5,17,30,82
Inter-Spitzen,17,29,31,153
ANITA_Thailand & Germany ,9,20,195,178
NAYLIT,0,9,0,14
Kyra Mode,0,7,0,25
Forster_FRSZ & SED,1,7,2,35
Audrey Thailand,0,6,0,6
VIVIENNE AUSTRALIA,0,6,0,6
Mas IntimatesUnichela,0,6,0,14
Rouge Gorge,2,8,6,24
PT Indonesia Wacoal ,1,6,4,44
Agent Provocateur,12,17,66,110
CENTER PRICE THB,201,205,1118,1134
Hanes Global,6,10,21,58
Gamma 28,0,3,0,14
Liberty Vietnam,3,6,15,25
PT. Kelwaram,0,2,0,10
Delta Bogart,2,4,4,4
ETAM,8,10,55,72
LCTT,0,2,0,6
Aronne Faccio,1,3,9,68
Biggame & MIIT,2,3,2,9
Chief You,5,6,23,23
Clover,0,1,0,3
Itochu-Triumph,1,2,7,9
Fidelity,0,1,0,2
Gemma Knits,0,1,0,1
Hop Lun,7,8,177,180
Savage,3,4,26,69
SLD China,0,1,0,2
Triumph art. 254615 old until N,0,1,0,20
Lintas-HK,0,1,0,2
Mas CaptialUnichela 255554 VS b,0,1,0,3
Magic link,0,1,0,30
MIRAE,0,1,0,1
Mizoroki,0,1,0,1
Others,0,1,0,1
P.B.S.E,5,5,22,18
PL Recycle fabric 11 Nov 2022,6,6,46,46
Prima Lace,2,2,26,31
PT Busanaremaja ,1,1,3,3
Obsidian,5,5,18,24
Manufacture,1,1,12,12
LIVY (ETAM),1,1,6,6
Libertytex,5,5,40,43
Triumph art. 254746,1,1,4,30
Triumph art. 255484AA.11,1,1,6,6
Triumph Hong Kong 257138AA23,1,1,1,1
special price for EMB customer,1,1,5,5
Triumph 254804,1,1,4,20
Wacoal America,1,1,6,6
Scavi,1,1,3,3
Shenzhen Fidele Garments ,1,1,9,9
Quadrille Nishida,1,1,9,9
Hop Lun (PH Garment),22,22,179,175
Impact Auto,2,2,14,16
Infinity Asia,3,3,18,18
K.S. (Samy),1,1,3,12
Kamcaine,1,1,6,6
Chi Shing,1,1,3,3
Bodywear,2,2,7,7
CENTER PRICE USD for internal,207,207,1988,2010
Cerie ,1,1,15,21
Ateliers,1,1,6,6
AGAPE,6,6,30,30
BIGA Roja,2,2,6,6
ZHOUNGSHAN (ETAM),3,3,9,18
NULL,1,0,8,0
