sheet,source_row,col,cell_text
"CENTER PRICE USD for internal",236,13,"hydrophilic = surcharge US$0.50/m."
"CENTER PRICE USD for internal",241,13,"hydrophilic = surcharge US$0.50/m."
"CENTER PRICE USD for internal",246,13,"hydrophilic = surcharge US$0.50/m."
"CENTER PRICE USD for internal",869,4,"For neon color / super dark color,  there is surcharge USD 0.50/m. for every articles."
"CENTER PRICE USD for internal",873,4,"Photo sample 50-100 m. /color with USD 185/ colour surcharge.  No Labdip and No B/S for approval. No guarantee color and spec."
"CENTER PRICE USD for internal",874,4,"Photo sample 100-199 m. /color with USD 150/ colour surcharge. No L/D and No B/S for approval. No guarantee color and spec."
"CENTER PRICE USD for internal",883,4,"Anti-Yellowing for moulding (mouldable finish) USD0.50/m."
"CENTER PRICE USD for internal",884,4,"Hydrophilic finishing (absorption) surcharge USD0.50/m."
"CENTER PRICE USD for internal",885,4,"Antibacteria finishing surcharge USD1.00/m."
"CENTER PRICE THB",233,11,"hydrophilic = surcharge US$0.50/m."
"CENTER PRICE THB",238,11,"hydrophilic = surcharge US$0.50/m."
"CENTER PRICE THB",243,11,"hydrophilic = surcharge US$0.50/m."
"CENTER PRICE THB",868,10,"$ 1.90"
"CENTER PRICE THB",897,4,"For neon color / super dark color,  there is surcharge THB15 /m. for every articles."
"CENTER PRICE THB",901,4,"Photo sample 50-100 m. /color with USD 185/ colour surcharge.  No Labdip and No B/S for approval. No guarantee color and spec."
"CENTER PRICE THB",902,4,"Photo sample 100-199 m. /color with USD 150/ colour surcharge. No L/D and No B/S for approval. No guarantee color and spec."
"CENTER PRICE THB",910,4,"Anti-Yellowing for moulding (mouldable finish) THB15/m."
"CENTER PRICE THB",911,4,"Hydrophilic finishing (absorption) surcharge THB15/m."
"CENTER PRICE THB",912,4,"Antibacteria finishing surcharge THB30/m."
"Acundis",16,2,"Date : 8th December 2023 => requoted Date on 16th August 2024 to still keep USD1.50/m. for 2,000 m."
"Acundis",44,1,"K. Sivy informed K. Yeni to negotiate with Acundis to order art. 255484 PFD Shipment 4 x 5000 meters @FOB Bangkok USD1.45/m. on 29th February 2024"
"Acundis",115,12,"Color $3.80/m for Stock only"
"Acundis",131,10,"$8.00"
"ANITA_Thailand & Germany ",23,8,"USD4.93/m.  (150 m. quoted by K. Sivy on e-mail 30.05.18)"
"ANITA_Thailand & Germany ",61,8,"THB310/m. / US$9.68/m. FOB TH"
"ANITA_Thailand & Germany ",62,8,"THB280/m./ US$8.75/m. FOB TH"
"ANITA_Thailand & Germany ",63,8,"USD7.83/m. (150 m. quoted by K. Sivy on e-mail 30.05.18)"
"ANITA_Thailand & Germany ",68,8,"THB 318/m. / US$9.68/m. FOB"
"ANITA_Thailand & Germany ",69,8,"THB 288/m. / US$8.75/m. FOB"
"ANITA_Thailand & Germany ",74,8,"THB174/m."
"ANITA_Thailand & Germany ",74,9,"US$5.15/m. FOB TH"
"ANITA_Thailand & Germany ",77,8,"THB255/m. and USD7.75/m."
"ANITA_Thailand & Germany ",221,8,"Buy gregie from Gemma = THB 380/kg (yield 3.30g/m)"
"ANITA_Thailand & Germany ",226,8,"Buy gregie from Gemma = THB 138/kg (yield 4.60g/m)"
"ANITA_Thailand & Germany ",230,8,"Buy gregie from Gemma = THB 138/kg (yield 4.60g/m)"
"ANITA_Thailand & Germany ",233,8,"Buy gregie from Gemma = THB 138/kg (yield 4.60g/m) ** updated with Khun Best on 1.04.25 Khun Amorn confirmed remain same price"
"ANITA_Thailand & Germany ",250,15,"$ 2.80"
"ANITA_Thailand & Germany ",250,16,"THB 98"
"ANITA_Thailand & Germany ",251,15,"$ 2.35"
"ANITA_Thailand & Germany ",251,16,"THB 83"
"ANITA_Thailand & Germany ",252,15,"$ 2.25"
"ANITA_Thailand & Germany ",252,16,"THB 80"
"ANITA_Thailand & Germany ",253,16,"THB 90"
"ANITA_Thailand & Germany ",254,16,"THB 80"
"ANITA_Thailand & Germany ",261,8,"K.Sivy estimate price THB 150/m offer to Mr.Georg @meeting at Anita Thailand"
"ANITA_Thailand & Germany ",269,14,"THB 592.00"
"ANITA_Thailand & Germany ",272,14,"THB 662.00"
"ANITA_Thailand & Germany ",273,14,"USD 20.70"
"Aronne Faccio",39,2,"Photo sample 50-199 m. price is 3.77/ m /color with USD 150/ colour surcharge."
"Aronne Faccio",72,2,"Photo sample 50-199 m. price is 3.87/ m /color with USD 150/ colour surcharge."
"Biga Thailand ",44,16,"K.Sivy reduce price to be THB 480/kg (including TC  for only this order Triumph).  This based on normal yarn and only given special one time."
"Biga Thailand ",206,16,"Greige 205769 stock in B grade, K.Sivy confirmed discount 15% price is THB 765.-/kg."
"Biga Thailand ",253,16,"Update 6.10.2025 K.Sivy quoted for K.Wi(or customer AUBADE France) same price as 254824 = 85THB/M."
"Biga Thailand ",275,16,"PFD/PFE require 3,000 m. for price 35 thb/m. & quoted by K.Sivy by LINE on 22.06.21"
"Biga Thailand ",285,16,"K.Sivy confirmed price THB 52/m for this time (stock 2024)"
"Biga Thailand ",313,16,"all colors THB117/m. K. Sivy giave by e-mail on 26.05.17 to K. Muay"
"Biga Thailand ",352,16,"all colors THB162/m. with min. 300 m. K. Sivy giave by e-mail  on 28.06.17 to K. Muay"
"Biga Thailand ",444,16,"K.Sivy instruction Price remain THB 270 / kg."
"Biga Thailand ",445,16,"K.Sivy instruction Price remain THB 270 / kg."
"Biga Thailand ",497,16,"K.Sivy quoted 95฿ but bischoff order 800M charge price 25%"
"Biga Thailand ",511,12,"31 baht"
"Biga Thailand ",512,12,"32 baht"
"BIGA Lanka greige & PFD ",35,6,"Greige price :  THB 450.-/kg"
"BIGA Lanka greige & PFD ",36,6,"Greige price :  THB 360.-/kg"
"BIGA Lanka greige & PFD ",108,6,"THB 250/kg"
"BIGA Lanka greige & PFD ",117,8,"PFD THB 345/ kg"
"BIGA Lanka greige & PFD ",212,5,"Greige price  =298THB/KGS"
"BIGA Lanka greige & PFD ",213,5,"DYED/FOB BKK =3.95USD/M."
"BIGA Lanka greige & PFD ",214,5,"PFD price:95 THB/M"
"BIGA Lanka greige & PFD ",216,5,"Greige price  =220THB/KGS"
"BIGA Lanka greige & PFD ",217,5,"DYED /FOB BKK =3.80USD/M."
"BIGA Lanka greige & PFD ",218,5,"PFD price:84THB/M"
"BIGA Lanka greige & PFD ",220,5,"Greige price = 245THB/KGS"
"BIGA Lanka greige & PFD ",223,5,"Greige price = 230 THB/KGS"
"Chantasia_record",156,9,"Revised 28/2/22 --> $2.50"
"Chantasia_record",156,10,"Revised 28/2/22 --> $2.67"
"Chantasia_record",158,9,"Revised 28/2/22 --> $2.15"
"Chantasia_record",158,10,"Revised 28/2/22 --> $2.32"
"Chi Shing",8,1,"K. Nong gave special FOB Thailand price USD2.10/m. of art. 254555 to Chi Shing if they place order 1,000 m.+/col."
"Crystal Martin",15,11,"$ 8.35 (BASED ON MIN FULL WIDTH 170 CM)IF CONVERT TO 145CM EQUAL TO $ 7.12"
"Crystal Martin",15,12,"$ 9.65 (BASED ON MIN FULL WIDTH 170 CM) IF CONVERT TO 145 CM EQUAL TO $ 8.23"
"LIVY (ETAM)",21,1,"Special Surcharge : Invoice value under $1,500/shipment handling surcharge $100/shipment."
"Shenzhen Fidele Garments ",21,1,"Special Surcharge : Invoice value under $1,500/shipment handling surcharge $100/shipment."
"ZHOUNGSHAN (ETAM)",4,11,"$2.00"
"ZHOUNGSHAN (ETAM)",5,11,"$0.67"
"ZHOUNGSHAN (ETAM)",6,11,"$0.20"
"ZHOUNGSHAN (ETAM)",7,11,"$2.00"
"ZHOUNGSHAN (ETAM)",8,11,"$0.67"
"ZHOUNGSHAN (ETAM)",9,11,"$0.20"
"ZHOUNGSHAN (ETAM)",10,11,"$1.96"
